,id,start,end,record,prog,duration,18?,US?,sex,age,trip_int,trip_dom,trip_risk,know_1,know_2,know_3,know_4,know_5,know_6,know_7,know_8,know_9,know_10,know_11,know_12,know_13,2_group_know_weighted_sum,3_group_know_weighted_sum,knowinf_1,knowinf_2,knowinf_3,knowinf_4,knowinf_5,knowinf_6,knowinf_7,knowinf_8,knowinf_9,knowinf_10,2_group_knowinf_weighted_sum,3_group_knowinf_weighted_sum,search,source_part,source_fam,source_fre,source_reli,source_doct,source_tv,source_radi,source_news,source_gov,source_soc,source_web,mainst_?,source_most,info_accu,info_upto,behav_1,behav_2,behav_3,behav_4,behav_5,behav_6,behav_7,behav_8,behav_9,behav_10,behav_11,behav_12,2_group_behav_weighted_sum,3_group_behav_weighted_sum,behav7_1,behav7_2,behav7_3,behav7_4,2_group_behav7_weighted_sum,3_group_behav7_weighted_sum,smoke,drink,sleep,trav_sev,trav_cruise,trav_plan_int,trav_plan_dom,percv_risk,3mon_cases,percv_sev,belief_1,belief_2,belief_3,belief_4,belief_5,belief_6,belief_7,belief_8,belief_9,belief_10,belief_11,belief_12,fedgov_resp,statgov_resp,threat_secur,threat_econ,threat_pers,attid_pol_1,attid_pol_2,attid_pol_3,attid_pol_4,attid_pol_5,attid_pol_6,attid_pol_7,optimism,vote_?,vote_1,vote_2,vote_3,vote_4,anx_1,anx_2,anx_3,anx_4,impact_1,impact_2,impact_3,impact_4,impact_5,impact_6,race,state,urban,work,healthcare,child,educ,polit
20,ID0034,3/21/2020 2:29,3/21/2020 2:45,3/21/2020 2:45,100,931,1,1,0,2,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,9,9,0,1,0,1,1,0,1,1,1,1,6,6,4,0,0,0,0,0,1,1,0,1,1,1,1,5,1,1,0,0,0,1,1,0,1,1,1,1,1,0,5,4.3,0,1,1,1,2.5,2.7,2,0,4,3,3,3,3,5,1,3,3,3,1,3,2,1,3,3,1,1,3,3,5,5,2,2,2,2,2,3,3,3,3,3,3,1,1,0,1,1,2,2,1,2,2,2,1,1,1,0,6,30,3,1,0,0,1,3
21,ID0036,3/21/2020 4:16,3/21/2020 4:25,3/21/2020 4:25,100,540,1,1,1,2,0,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,10.5,10.7,1,1,1,1,1,1,0,1,1,1,8,8,4,1,1,1,0,0,1,0,1,1,1,1,1,8,1,1,0,0,0,1,0,0,0,1,1,1,0,0,3.5,3.3,1,1,1,1,3,3.3,0,4,3,3,3,3,2,7,4,5,2,2,2,0,1,1,3,2,0,3,1,0,0,0,3,3,2,1,1,3,1,1,1,1,0,1,1,1,1,1,5,2,1,1,5,1,1,2,0,1,6,24,2,1,1,1,4,1
22,ID0039,3/21/2020 5:02,3/21/2020 5:10,3/21/2020 5:10,100,485,1,1,1,2,0,0,2,1,0,1,0,0,1,0,1,1,0,0,1,1,6.5,6.7,1,1,1,1,1,0,1,1,0,1,7.5,7.7,4,0,0,0,0,1,1,1,0,0,1,0,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.5,7.7,1,1,1,1,3,3.3,0,0,5,0,0,0,0,1,0,1,2,2,2,2,2,3,2,3,3,1,3,3,7,6,2,2,2,2,2,2,3,3,3,3,3,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,6,25,2,1,0,1,1,1
23,ID0041,3/21/2020 6:17,3/21/2020 6:29,3/21/2020 6:29,100,699,1,1,0,3,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,1,1,1,1,1,1,1,1,1,1,9,9,4,1,0,1,0,0,1,1,1,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,3,5,3,3,0,0,0,3,0,3,0,0,2,0,4,4,3,3,3,0,0,3,3,3,3,3,1,1,0,1,1,1,5,5,1,0,5,2,2,1,0,0,6,12,1,9,1,0,1,3
24,ID0042,3/21/2020 6:24,3/21/2020 6:29,3/21/2020 6:29,100,306,1,1,0,1,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,1,1,0,1,1,1,1,1,1,1,8,8,4,0,0,0,0,0,1,0,0,1,1,1,1,8,1,1,1,0,0,1,0,0,0,1,1,1,0,0,4.5,4.3,0,1,1,1,2.5,2.7,0,0,3,3,3,3,3,6,4,5,3,3,3,0,1,1,2,1,1,1,2,0,4,7,1,2,1,1,1,2,3,3,3,3,1,1,1,1,1,1,2,1,0,0,2,5,2,2,1,1,6,35,2,1,0,1,3,2
25,ID0043,3/21/2020 6:46,3/21/2020 7:05,3/21/2020 7:05,100,1178,1,1,0,3,0,0,2,1,1,0,1,1,1,1,1,1,0,0,1,1,8,8,1,1,0,1,1,1,1,1,1,1,8,8,4,0,0,0,0,0,1,0,0,1,1,0,1,8,1,1,0,0,0,1,1,0,1,1,1,1,0,0,4.5,4,1,1,0,1,2.5,2.7,0,0,4,3,3,3,3,8,3,7,3,3,1,0,2,1,2,2,0,3,1,0,5,5,2,3,3,2,1,3,3,3,3,3,1,1,1,1,1,1,5,5,0,0,5,5,5,0,0,0,6,38,1,9,0,1,1,3
26,ID0044,3/21/2020 6:57,3/21/2020 7:08,3/21/2020 7:08,100,680,1,1,0,2,0,0,4,1,1,1,1,1,1,0,1,1,1,1,1,1,10.5,10.7,1,1,1,1,1,1,1,1,1,1,9,9,4,1,1,1,0,1,1,1,1,1,1,1,1,4,0,0,0,1,1,1,1,0,0,1,1,1,1,0,6,5.7,0,1,1,1,2.5,2.7,3,3,4,3,3,3,3,3,4,5,3,3,3,0,2,1,3,2,0,3,2,1,3,3,3,3,2,2,3,3,3,3,3,3,2,1,0,1,0,1,2,1,1,1,5,2,2,5,5,5,6,48,3,6,0,1,1,3
27,ID0046,3/21/2020 7:17,3/21/2020 7:28,3/21/2020 7:29,100,680,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,1,1,0,1,1,1,1,1,1,1,8,8,4,1,1,1,0,0,0,1,1,1,1,1,1,7,1,1,0,0,1,1,1,0,1,1,1,1,0,0,5,4.7,0,1,1,1,2.5,2.7,3,3,4,3,3,3,3,7,5,4,3,3,1,1,1,1,2,1,0,3,0,1,3,6,2,3,3,2,3,3,2,2,1,1,1,1,1,1,1,1,5,5,2,2,5,5,2,1,0,5,6,13,1,4,0,0,2,0
28,ID0047,3/21/2020 7:23,3/21/2020 7:38,3/21/2020 7:38,100,880,1,1,0,3,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,9,9,1,1,1,1,1,1,1,1,1,1,9,9,4,1,1,0,0,1,1,1,1,1,1,1,1,8,1,1,0,0,1,1,0,0,1,1,1,1,0,0,4.5,4.3,1,1,1,1,3,3.3,0,0,3,3,3,3,3,8,5,10,3,3,0,0,2,2,3,3,0,2,2,0,7,5,3,3,3,3,2,3,3,3,3,3,1,1,1,1,1,1,5,2,1,0,2,5,1,1,0,1,6,49,2,6,0,1,1,0
29,ID0049,3/21/2020 7:55,3/21/2020 8:05,3/21/2020 8:05,100,627,1,1,0,4,0,0,3,1,1,0,1,1,1,1,1,0,1,1,1,1,9.5,9.3,1,1,1,1,1,1,1,1,1,1,9,9,4,0,0,1,0,0,1,1,1,1,1,0,1,8,1,0,0,0,1,1,1,0,0,1,1,1,0,0,4.5,4.3,1,1,1,1,3,3.3,0,1,5,3,3,3,3,5,4,7,3,3,3,0,0,0,2,2,0,2,1,1,2,4,2,3,2,1,2,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,6,32,3,1,0,0,3,0
